"word","small.cat","aoa","n.freq.pre","cmu.phon","uttlen.pre","sp.count","sp.KL","topic.count.ep","topic.KL","temp.count","temp.KL","mrc.imag","mrc.conc","mrc.fam"
"aboard","Other",519.455474537,0.297011052960037,5,4.291667,100,1.1002689792,44,0.918160522365,44,0.347877829855,NA,NA,NA
"accident","Adjectives",607.380671296,0.350259479849908,8,5.08,357,0.3528805387,106,0.077768472821,71,0.0972737315513,518,419,564
"again","Closed class",515.417766204,17.0807613024349,4,5.647245,10372,0.0452275791835,1927,0.240855775409,2212,0.0478102945724,NA,NA,NA
"airplane","Nouns",476.36568287,0.785874970371298,6,4.845238,387,0.586108548325,76,0.273948415699,120,0.33585692402,NA,NA,NA
"album","Nouns",602.814675926,0.103573317057803,5,8.272727,84,1.43141391319,24,0.243075998144,12,0.82801197301,NA,NA,NA
"alexander","Nouns",590.793425926,0.0230338307932918,9,6.75,NA,NA,7,0.670883458547,4,1.15213021003,NA,NA,NA
"NANNYNAME","Nouns",382.849884259,5.18653254705929,7,4.732203,1573,0.3594261141,270,0.146429541177,355,0.180870417801,NA,NA,NA
"all","Closed class",436.539479167,36.0391266379262,2,6.312735,15621,0.0969413430885,2153,0.102574109371,3414,0.0390387944889,332,267,582
"alligator","Nouns",527.378078704,0.0959202149977412,7,3.416667,101,1.3000360828,20,0.412176147946,20,0.829543616777,627,624,442
"alright","Adjectives",751.407418981,15.2752647849097,5,3.683723,24513,0.0318069955421,4100,0.0315160172654,3109,0.026726145258,NA,NA,NA
"am","Closed class",502.831631944,4.33151864945451,2,6.722449,2915,0.206349469121,NA,NA,724,0.168061122348,247,259,603
"ambulance","Nouns",445.711539352,0.62161451633635,9,4.183099,265,0.708044572207,50,0.342846114883,82,0.313568601589,627,595,499
"an","Closed class",680.638657407,9.95420803760679,2,7.895611,11937,0.0252653719932,NA,NA,2020,0.0224400623273,195,217,595
"and","Closed class",509.382986111,176.148887384168,3,7.859519,106979,0.0360851275715,NA,NA,23956,0.0141240418953,226,220,620
"animal","Nouns",574.803356481,2.37691193485836,6,5.925333,1834,0.201869996526,388,0.275810928468,437,0.064275810521,575,587,620
"another","Closed class",617.32994213,6.49452669194743,5,6.439921,7051,0.0441436168553,1543,0.0274821873143,1241,0.0224706031236,NA,NA,NA
"answer","Other",626.594791667,0.997130071791454,4,6.301676,770,0.314642003762,253,0.149387156287,210,0.120753320021,368,397,605
"ant","Nouns",676.379282407,0.190540276489585,3,5.159091,88,1.29582267701,39,0.51708031529,55,0.223993259939,613,604,511
"any","Closed class",627.356423611,11.1342132867082,3,6.70031,11970,0.0386076590148,2324,0.218018377683,2309,0.025832282323,206,222,542
"apple","Nouns",454.424189815,1.87615554655137,4,4.825,769,0.495329679769,150,0.284496704145,192,0.105289071489,637,620,598
"around","Adjectives",644.469375,7.69829275966559,4,7.671502,8102,0.0478156229456,1786,0.044400890424,1464,0.0295890468147,NA,NA,NA
"away","Adjectives",596.700729167,11.1182943864895,3,6.557457,12694,0.0509574262401,2008,0.0915525724501,2235,0.0260036340043,272,257,573
"awesome","Adjectives",596.694282407,0.335439968826746,4,5.441176,341,0.544158115819,91,0.179563273133,52,0.271544932264,NA,NA,NA
"baby","Nouns",494.72744213,18.7461685394945,4,5.383476,10555,0.0800607229824,1390,0.146915546969,2616,0.0332408312912,608,589,597
"back","Adjectives",483.671087963,14.5586185064876,3,7.214234,10641,0.080455797064,1650,0.0834671073999,1861,0.016460439113,483,540,587
"bad","Adjectives",521.757303241,5.14469317413418,3,6.408537,3703,0.0702423843829,815,0.0439366190602,660,0.0449870914136,388,308,592
"bag","Nouns",483.740752315,4.26656918570752,3,5.178295,2028,0.215255472626,388,0.907482810838,594,0.254768117562,570,603,634
"bagel","Nouns",489.411990741,0.19167144971021,5,6.333333,155,0.886739266589,34,0.419234354727,18,1.13263068227,NA,NA,NA
"balloon","Nouns",486.486967593,2.38300260543249,5,4.961326,997,0.531335358885,122,0.402844784409,283,0.426685226478,583,623,520
"bambi","Nouns",548.83150463,0.305186313336176,5,3.371429,113,1.33671813614,15,0.403479276756,40,0.747261982862,NA,NA,NA
"banana","Nouns",494.690532407,3.68712182304358,6,4.528736,2777,0.232977639042,233,0.296877162242,488,0.210976875262,644,633,576
"barney","Nouns",563.354178241,2.23954070142662,5,3.790769,1999,0.635080506577,181,1.07593774919,453,0.38256279998,NA,NA,NA
"basket","Nouns",584.412824074,1.03817176110633,6,6.067073,860,0.442659976542,160,0.189904264394,216,0.264271034542,560,606,485
"basketball","Other",523.496053241,0.389626897259335,9,5.027027,414,0.869100481137,58,0.15495600114,57,0.364317122699,NA,NA,NA
"bath","Other",334.429421296,3.29679159800579,3,6.028571,622,1.13061505329,69,0.356975474419,86,0.942166535394,601,600,599
"bathroom","Nouns",585.721458333,1.42004965814378,6,7.807692,2308,0.34311852003,305,0.0857983306058,208,0.113568957841,NA,NA,NA
"battery","Nouns",572.440393519,0.782259191043766,5,6.166667,751,0.389387038614,124,0.0952217067747,123,0.248367794879,NA,NA,NA
"be","Closed class",498.887395833,35.3598303727628,2,8.047431,25559,0.0335844979158,3474,0.0647111720135,4229,0.0223450058053,274,225,613
