"word"	"count.ep"	"count.tok"	"T0"	"T1"	"T2"	"T3"	"T4"	"T5"	"T6"	"T7"	"T8"	"T9"	"T10"	"T11"	"T12"	"T13"	"T14"	"T15"	"T16"	"T17"	"T18"	"T19"	"T20"	"T21"	"T22"	"T23"	"T24"
"BACKGROUND"	18751	5873571	0.057116	0.020584	0.008898	0.153807	0.066957	0.013738	0.073724	0.084698	0.014231	0.029626	0.025645	0.073891	0.015796	0.02078	0.037842	0.016184	0.019928	0.011144	0.023271	0.015437	0.021503	0.015476	0.140278	0.015948	0.023498
"aboard"	44	83	0.0321586	0.01843815	0.008545244	0.04433171	0.02792859	0.08272257	0.003535676	0.1098859	0.07528999	0.02247312	0.07254008	0.06275019	0.03209943	0.01175375	0.01708541	0.2649196	0.01842931	0.0007143523	0.002561173	0.01202304	0.003869918	0.02197928	0.04305187	0.006260277	0.004652777
"accident"	106	133	0.04966238	0.02053576	0.0213804	0.1499821	0.06446769	0.01249559	0.07280028	0.1178499	0.0131592	0.03604453	0.02163851	0.03971519	0.008130054	0.0102377	0.02642353	0.02254443	0.05250277	0.006426767	0.01156792	0.004088099	0.00868964	0.03090096	0.1724874	0.009517364	0.01675188
"again"	1927	3951	0.04505434	0.01034149	0.01207348	0.09637956	0.04837975	0.01505105	0.06303303	0.1175507	0.04744506	0.02678904	0.1568293	0.05151847	0.009063798	0.01310866	0.02571339	0.03427607	0.01644683	0.01029024	0.009113828	0.02210697	0.00851312	0.006431513	0.1307894	0.0120335	0.01166737
"airplane"	76	166	0.0309786	0.004431831	0.002701567	0.07928273	0.07233672	0.03644292	0.05119807	0.2847327	0.01042757	0.03440132	0.03174643	0.05496501	0.01576925	0.007565485	0.01857034	0.02319176	0.01573208	0.005357433	0.01221621	0.03091644	0.01863076	0.04910897	0.0895406	0.004067054	0.01568818
"album"	24	41	0.03586355	0.006528974	0.002912365	0.311967	0.02944299	0.004804898	0.1634497	0.03996966	0.01166808	0.04514045	0.003588813	0.06204217	0.005461129	0.006769964	0.01802216	0.005497451	0.008134075	0.03878288	0.004871292	0.007480813	0.01513476	0.003853634	0.1122678	0.02636284	0.02998264
"alexander"	7	17	0.1310194	0.1539857	0.000601833	0.07409518	0.01489066	0.006206025	0.1355103	0.03571541	0.05192837	0.0475819	0.006159176	0.006466868	0.01566345	0.007492913	0.006736763	0.002546454	0.007542662	0.005788468	0.002100939	0.01175413	0.005877537	0.07056037	0.06054087	0.0110865	0.1281481
"NANNYNAME"	270	583	0.07462298	0.003272561	0.01473889	0.1323669	0.03918867	0.00342073	0.09430512	0.1888632	0.009775283	0.03531689	0.01156629	0.090717	0.006040883	0.005202138	0.02417409	0.01051232	0.009230677	0.009254913	0.006968505	0.003917787	0.006780119	0.003098974	0.189926	0.007862194	0.01887696
"all"	2153	5482	0.03921608	0.006421846	0.01197344	0.158219	0.06132305	0.009506781	0.04028548	0.1207593	0.02713195	0.03597952	0.03609585	0.05256284	0.00804764	0.03501346	0.05233469	0.05955036	0.006262171	0.008631206	0.03562407	0.01334105	0.01470129	0.006423994	0.1426919	0.007690111	0.01021294
"alligator"	20	36	0.07150575	0.009323624	0.06604219	0.03981485	0.04605711	0.004448093	0.0460643	0.1007776	0.04792818	0.02710989	0.04817485	0.07004858	0.01538053	0.05476539	0.05317506	0.01134973	0.0438387	0.007258593	0.02921934	0.08368095	0.01634384	0.005353376	0.02011354	0.05477844	0.02744748
"alright"	4100	6787	0.06986639	0.01534887	0.007921794	0.1081021	0.07180872	0.01015856	0.06365305	0.09412436	0.01249256	0.04153586	0.02053851	0.1171114	0.01075081	0.0140766	0.05102234	0.01513058	0.01761331	0.01014714	0.01768509	0.01174062	0.01824479	0.013275	0.1451318	0.01544	0.0270798
"ambulance"	50	101	0.02968999	0.005172169	0.005415198	0.09657648	0.05211301	0.01773445	0.01849837	0.2694363	0.02421622	0.04075582	0.01914723	0.04086857	0.005368324	0.01398251	0.01967888	0.06766097	0.0191894	0.009748126	0.02075722	0.008956738	0.006589148	0.07549256	0.08337051	0.01804224	0.03153956
"animal"	388	648	0.03933671	0.01975682	0.02095904	0.09558613	0.06112112	0.009156567	0.04004974	0.0997727	0.01770688	0.02504426	0.0419947	0.05118379	0.009206397	0.06710337	0.0186713	0.05871718	0.01036879	0.01134059	0.03412507	0.1182925	0.02264232	0.007892927	0.08092662	0.01728417	0.02176035
"another"	1543	2044	0.05072097	0.0195363	0.01533041	0.1837507	0.06615252	0.01527196	0.05848701	0.08914237	0.01391888	0.02907453	0.02811548	0.0364508	0.01528335	0.01851469	0.03047432	0.02384566	0.02371229	0.01044615	0.03353938	0.02342067	0.01518984	0.01437515	0.1501698	0.01694736	0.01812941
"answer"	253	385	0.03486804	0.01793927	0.01505174	0.1760904	0.03863028	0.006733584	0.1013022	0.1000737	0.0127922	0.02559115	0.02247115	0.05548487	0.01169318	0.0296333	0.02193964	0.09786825	0.01167066	0.009406344	0.01899099	0.03492426	0.0176038	0.0112234	0.09297941	0.01434201	0.02069613
"ant"	39	81	0.06347631	0.04666924	0.176165	0.06926343	0.03356594	0.003992714	0.0341011	0.06609536	0.007934526	0.02402462	0.02419437	0.1012685	0.03648035	0.04641667	0.03498653	0.00912547	0.008388068	0.01858622	0.042363	0.03070984	0.01061324	0.003330502	0.06455464	0.02243745	0.02125695
"any"	2324	3912	0.03488908	0.01183005	0.007716044	0.1594865	0.05876328	0.009832485	0.05291594	0.06442585	0.01499447	0.02662024	0.02012085	0.04133024	0.01808766	0.01949777	0.03037488	0.04503128	0.01329089	0.01015351	0.01216437	0.01877997	0.01072113	0.008505174	0.1587922	0.1326416	0.01903449
"apple"	150	348	0.0175813	0.006453129	0.001944589	0.1430686	0.1666871	0.003028738	0.03420642	0.09649877	0.01542496	0.03564835	0.08902778	0.02447174	0.002531613	0.02637955	0.01102425	0.04769408	0.00319913	0.03627365	0.00711903	0.005893907	0.01188316	0.003515273	0.1945736	0.009514255	0.006356992
"around"	1786	2604	0.04789409	0.01608891	0.006631581	0.2156894	0.05433876	0.01306202	0.06885558	0.06945724	0.01551988	0.04061416	0.01993646	0.03799469	0.01574272	0.03095996	0.02702471	0.01225782	0.0175676	0.01513721	0.01558691	0.01152904	0.01724561	0.01166284	0.1864145	0.01310566	0.01968271
"away"	2008	3492	0.05807588	0.01732555	0.04452916	0.122087	0.06026262	0.01442405	0.04942661	0.08003371	0.01188731	0.03545187	0.01865813	0.05539222	0.01613129	0.03631456	0.04547426	0.05797762	0.01999276	0.008564325	0.03377234	0.01404822	0.01287445	0.01447029	0.1347656	0.01564402	0.02241613
"awesome"	91	110	0.02704294	0.0271264	0.004884752	0.3421151	0.04870739	0.006998395	0.08863737	0.05965937	0.006496556	0.03202983	0.02043846	0.0382515	0.001066565	0.005980107	0.01308211	0.01617835	0.02755287	0.01076158	0.007349491	0.005071673	0.01177153	0.01293699	0.1690671	0.004147816	0.01264566
"baby"	1390	3998	0.03641152	0.005902795	0.01326742	0.105379	0.06334821	0.02847227	0.05640184	0.1440834	0.02229556	0.09502399	0.02545755	0.04206754	0.02952455	0.05454041	0.0230868	0.02734883	0.01249025	0.01290438	0.01493869	0.0204744	0.01375784	0.007856991	0.1232214	0.01173891	0.01000542
"back"	1650	2980	0.07218618	0.006532976	0.04631612	0.1826967	0.04297309	0.01135919	0.05873948	0.09842797	0.01417342	0.04128649	0.02111973	0.04935718	0.008718488	0.02078391	0.0286323	0.01616266	0.01165599	0.01046477	0.02146453	0.01233818	0.01203764	0.00756756	0.1794737	0.01201602	0.0135157
"bad"	815	1200	0.04386726	0.007243422	0.006327296	0.1704604	0.05907671	0.01363886	0.07292065	0.1017489	0.01148607	0.04367114	0.01997472	0.04916658	0.009084208	0.01338887	0.03199699	0.01338902	0.01522042	0.009121377	0.03606674	0.01369744	0.011359	0.01074196	0.2032216	0.01223338	0.02089694
"bag"	388	944	0.02845678	0.003909425	0.01030769	0.07979201	0.03724465	0.00773332	0.0334862	0.05152191	0.02026809	0.02218063	0.01604177	0.02852337	0.01406965	0.008071931	0.01918484	0.1470671	0.006585199	0.00851242	0.005131368	0.01642861	0.006985918	0.005861282	0.1191681	0.2928743	0.01059344
"bagel"	34	79	0.01562715	0.006573335	0.002985153	0.194114	0.09119458	0.004773588	0.02783164	0.03084841	0.004173181	0.02762138	0.01366923	0.02428331	0.00154928	0.003061396	0.007817294	0.008102117	0.01591284	0.007100198	0.003549877	0.1117704	0.01093184	0.01175403	0.3038611	0.06311942	0.007775256
"balloon"	122	493	0.02793082	0.0166605	0.009879857	0.09441985	0.03132457	0.01315841	0.03386538	0.1764348	0.0218102	0.03771341	0.1660451	0.04909329	0.005011893	0.03442794	0.0197	0.06432036	0.01440458	0.01466508	0.01375252	0.05871281	0.008058103	0.01095283	0.05501656	0.01364501	0.00899609
"bambi"	15	76	0.04215706	0.02575692	0.0003323317	0.09574861	0.05015653	0.001097019	0.04716076	0.01853071	0.01437949	0.02236251	0.05853152	0.1257754	0.01306014	0.003597418	0.04764879	0.002227742	0.0007146982	0.005765183	0.02189896	0.001063221	0.003439783	0.003028011	0.2017923	0.01359305	0.1801819
"banana"	233	781	0.02643727	0.009016291	0.01048473	0.05464466	0.2534993	0.0155844	0.05135875	0.06344126	0.01678993	0.02573544	0.02654976	0.03361783	0.0108097	0.01455563	0.02178404	0.02331809	0.01268178	0.007113851	0.01416194	0.05817867	0.005891588	0.01076254	0.1965963	0.02169711	0.01528914
"barney"	181	669	0.01120304	0.01760848	0.002559773	0.04463695	0.05742979	0.009554092	0.01843362	0.1274006	0.01935617	0.008443226	0.4361587	0.03955461	0.003350891	0.009039226	0.01553191	0.04477496	0.01080593	0.003071606	0.004898353	0.02361057	0.005379821	0.004152406	0.06935161	0.005095374	0.008598312
"basket"	160	332	0.1164464	0.03062627	0.009110118	0.09183686	0.05472668	0.02567481	0.04441549	0.1556118	0.01540244	0.0249553	0.08637272	0.04996715	0.008880066	0.004526452	0.04251543	0.009762673	0.0553597	0.01432311	0.009135168	0.01688963	0.0155347	0.01683483	0.06793273	0.01364297	0.01951646
"basketball"	58	103	0.09218788	0.01414406	0.00916874	0.1552701	0.04366299	0.02667883	0.07509595	0.121663	0.009889151	0.04813521	0.01709074	0.04671286	0.001238529	0.006818226	0.02534701	0.008242069	0.09782585	0.01015017	0.01015674	0.006294832	0.01405975	0.01386111	0.1042667	0.01566327	0.02637626
"bath"	69	204	0.04619661	0.003561011	0.01438506	0.169572	0.02258243	0.005181277	0.03961147	0.06880393	0.005748681	0.1507651	0.01191264	0.03215267	0.002409729	0.01722396	0.1545498	0.007710162	0.007801354	0.002812822	0.008800989	0.004844669	0.01574873	0.001081773	0.1864727	0.002709734	0.01736077
"bathroom"	305	430	0.08927521	0.01379383	0.006279905	0.2380826	0.03269059	0.01166988	0.07427819	0.06057244	0.01385893	0.04367758	0.01391653	0.05195877	0.007262882	0.007739484	0.06276591	0.008175906	0.02011272	0.007351306	0.01057511	0.008249461	0.008918437	0.01651553	0.1607635	0.01046564	0.02104963
"battery"	124	220	0.04992287	0.007872537	0.005666979	0.2692712	0.03071129	0.02188081	0.08090361	0.07998485	0.0180518	0.05235578	0.02329903	0.04877561	0.02089392	0.009408036	0.03002086	0.02199692	0.0302647	0.01185286	0.01072078	0.007683552	0.008471423	0.01538302	0.1222153	0.008108465	0.01428378
"be"	3474	8025	0.0511018	0.005726052	0.00904689	0.2310491	0.04374129	0.008807888	0.06305814	0.09220089	0.01426897	0.0355119	0.02177552	0.05201438	0.01084695	0.02962532	0.02523893	0.01449992	0.01131359	0.008332167	0.01743779	0.01196424	0.01501365	0.005526157	0.198388	0.01121058	0.01229987
"beach"	74	141	0.03535145	0.007576934	0.01472262	0.1941888	0.08981266	0.005480682	0.03436808	0.0458716	0.007006107	0.03176024	0.07743792	0.03710861	0.009268183	0.1736254	0.02407066	0.008693456	0.006117256	0.005991529	0.06235548	0.0147392	0.01617997	0.0036975	0.07917405	0.007674083	0.007727529
"bead"	26	85	0.06500809	0.1368485	0.007693631	0.2662431	0.01524043	0.001719603	0.06648301	0.05593114	0.001464369	0.01190693	0.02185847	0.03304596	0.001214526	0.03470876	0.02158565	0.003158578	0.02277025	0.005057609	0.1358732	0.007696134	0.008076768	0.003686413	0.06212792	0.005633119	0.004967728
"bear"	283	1205	0.03610778	0.03571779	0.04970335	0.03266178	0.0194421	0.008540968	0.03658586	0.2355545	0.01098131	0.02197322	0.02437563	0.04347096	0.162257	0.04778515	0.0240561	0.03051507	0.008005891	0.007798494	0.02587225	0.03813687	0.007975735	0.007123693	0.0564958	0.01176412	0.01709858
"beautiful"	650	1101	0.04117884	0.0148574	0.008904774	0.1591019	0.0485189	0.01319321	0.06090131	0.09838089	0.1037322	0.02518441	0.03737619	0.03309704	0.01527659	0.03152449	0.02468913	0.02087166	0.01654001	0.02420964	0.03192925	0.02579115	0.02584031	0.009398254	0.0988448	0.01276327	0.01789436
